Plane,Img_x,Img_y,Enc_x,Enc_y
1,936,815,1992,1494
1,265,1437,2095,1812
1,694,955,2023,1627
1,2184,1667,2260,1810
1,153,918,1896,1627
1,597,825,1927,1520
2,936,815,1992,1494
2,195,777,1810,1536
2,1111,768,2017,1488
2,725,660,1843,1327
2,867,638,1864,1303
2,1158,693,2000,1411
2,1334,609,2017,1375
2,153,918,1896,1627
2,597,825,1927,1520
3,936,815,1992,1494
3,694,955,2023,1627
3,2184,1667,2260,1810
3,1111,768,2017,1488
3,1133,1073,2129,1689
3,2270,1456,2268,1783
4,1111,768,2017,1488
4,1158,693,2000,1411
4,1212,912,2129,1689
4,1888,738,2211,1636
4,1693,716,2171,1603
4,1890,634,2195,1578
5,1158,693,2000,1411
5,1334,609,2017,1375
5,1664,505,2060,1373
5,1890,634,2195,1578
6,1888,738,2211,1636
6,2292,1186,2268,1783
6,3746,908,2421,1720
6,3688,1188,2405,1762
6,2967,840,2355,1715
7,3746,908,2421,1720
7,3243,633,2407,1548
7,3720,607,2631,1267
7,3319,517,2469,1192
7,2967,840,2355,1715
