Plane,Img_x,Img_y,Enc_x,Enc_y
1,2440,1963,1861,1751
1,1047,1749,1722,1800
1,2188,1684,1775,1713
1,1506,1662,1742,1769
1,1240,1568,1669,1760
1,1624,2008,1854,1811
2,3622,1867,1888,1643
2,2440,1963,1861,1751
2,1047,1749,1722,1800
2,1332,1490,1584,1722
2,2306,1674,1769,1689
2,2188,1684,1775,1713
2,1240,1568,1669,1760
2,884,1368,1422,1732
2,1624,2028,1854,1811
3,2306,1674,1769,1689
3,2188,1684,1775,1713
3,1506,1662,1742,1769
3,1952,1532,1680,1688
4,3622,1867,1888,1643
4,2306,1674,1769,1689
4,3320,1598,1788,1585
4,3040,1428,1705,1543
4,2588,1536,1713,1625
4,3325,1430,1715,1517
5,884,1368,1422,1732
5,964,1248,1264,1662
5,623,1254,1301,1726
5,818,1252,1267,1696
5,567,1290,1318,1738
6,1332,1490,1584,1722
6,884,1368,1422,1732
6,964,1248,1264,1662
6,2496,1303,1571,1545
6,2586,1208,1566,1512
6,1666,1209,1356,1578
7,1666,1209,1356,1578
7,964,1248,1264,1662
7,1511,992,1276,1553
7,1572,1074,1316,1557
8,1666,1209,1356,1578
8,1511,992,1276,1553
8,1572,1074,1316,1557
8,1456,906,1231,1546
8,1683,894,1268,1518
8,1646,1035,1291,1525
9,2180,726,1412,1500
9,2435,726,1423,1449
9,2687,1033,1488,1495
9,2807,990,1482,1465
10,2180,726,1412,1500
10,2435,726,1423,1449
10,1740,710,1270,1517
10,2325,682,1327,1448
10,3085,724,1598,1467
10,3295,725,1594,1434
11,3085,724,1598,1467
11,3295,725,1594,1434
11,3335,1013,1649,1452
11,3315,831,1612,1439
12,2687,1033,1488,1495
12,2807,990,1482,1465
12,3335,1013,1649,1452
12,3332,1126,1673,1489
13,3040,1428,1705,1543
13,1952,1532,1680,1688
13,2588,1536,1713,1625
13,2496,1303,1571,1545
13,2586,1208,1566,1512
13,3042,1209,1659,1518
14,3040,1428,1705,1543
14,3325,1430,1715,1517
14,3042,1209,1659,1518
14,3332,1174,1677,1482
