time,x1,y1,x2,y2
1640187787.73,0.5704673269925955,0.35635286718608794,-1,-1
1640187788.73,0.5537243724586126,0.3611926454798295,-1,-1
1640187789.73,0.5378982420871525,0.3617880505071926,-1,-1
1640187790.73,0.5255804466025675,0.3639846035030418,-1,-1
1640187791.73,0.5106951524097328,0.36586794369567904,-1,-1
1640187792.73,0.49530697532498347,0.36825536084281707,-1,-1
1640187793.73,0.48298855028250653,0.37000717690583046,-1,-1
1640187794.73,0.4683116609755525,0.3717952099168184,-1,-1
1640187795.73,0.4495559480164219,0.3737094870918922,-1,-1
1640187796.73,0.4338947721264373,0.37410030645035247,-1,-1
1640187797.73,0.4180898165377712,0.3743540267472507,-1,-1
1640187798.73,0.40348186105227124,0.37629115510046995,-1,-1
1640187799.73,0.39010530652713404,0.358186772072272,-1,-1
1640187800.73,0.39300989470967834,0.34605166281543104,-1,-1
1640187801.73,0.4050507661586848,0.33951217687117446,-1,-1
1640187802.73,0.39580791096519985,0.3360050806474317,-1,-1
1640187803.73,0.386839689754004,0.3338571793826129,-1,-1
1640187804.73,0.38033836345637734,0.33070665419388046,-1,-1
1640187805.73,0.38361467163322766,0.3242640433214499,-1,-1
1640187806.73,0.3936803354620041,0.3173544254676179,-1,-1
1640187807.73,0.40703007957053217,0.31767462442729444,-1,-1
1640187808.73,0.4193184977639914,0.31644885335099926,-1,-1
1640187809.73,0.4306852717791622,0.3135697972502706,-1,-1
1640187810.73,0.4407571100005707,0.3147636333814607,-1,-1
1640187811.73,0.4497445105376831,0.31499654530188836,-1,-1
1640187812.73,0.45743877911713726,0.31351337746939606,-1,-1
1640187813.73,0.467784634539468,0.31176236507081045,-1,-1
1640187814.73,0.4797228312102555,0.3128282980225271,-1,-1
1640187815.73,0.485483120106828,0.3157325182329934,-1,-1
1640187816.73,0.4898233090010886,0.31372393286141365,-1,-1
1640187817.73,0.49476622629317163,0.31457388620998844,-1,-1
1640187818.73,0.49976515444589625,0.3146579777186179,-1,-1
1640187819.73,0.5077341041668981,0.3179546562778951,-1,-1
1640187820.73,0.49133809578380294,0.32281205148266773,-1,-1
1640187821.73,0.48169888738880706,0.323538174554914,-1,-1
1640187822.73,0.47265276255498223,0.3213692149479428,-1,-1
1640187823.73,0.46209373799674475,0.32150477050322435,-1,-1
1640187824.73,0.4528232071058871,0.32191104228031947,-1,-1
1640187825.73,0.44403438760164865,0.3222624587630017,-1,-1
1640187826.73,0.43302272222344856,0.3218947134566071,-1,-1
1640187827.73,0.5145744935022116,0.3223005428261402,-1,-1
1640187828.73,0.5060380743896088,0.3273225814681242,-1,-1
1640187829.73,0.49537231782292335,0.3293259261431753,-1,-1
1640187830.73,0.4842700052547482,0.33007612920609586,-1,-1
1640187831.73,0.4745453978874133,0.3345195020941375,-1,-1
1640187832.73,0.46455756202382975,0.33353623041702457,-1,-1
1640187833.73,0.4536230905406111,0.3322258644017719,-1,-1
1640187834.73,0.4423376304009251,0.3314802757493374,-1,-1
1640187835.73,0.42949593452017715,0.3344909640565099,-1,-1
1640187836.73,0.4169248235785352,0.3394361041622625,-1,-1
1640187837.73,0.4053885518476717,0.34144101979844543,-1,-1
1640187838.73,0.3948981154092163,0.3467426857980954,-1,-1
1640187839.73,0.40209038498120714,0.3557635942192011,-1,-1
1640187840.73,0.41435770354512036,0.3542704457772815,-1,-1
1640187841.73,0.42733099399615576,0.3535262288448805,-1,-1
1640187842.73,0.4236192431890934,0.35502285128026956,-1,-1
1640187843.73,0.45161614238745484,0.3515958935296264,-1,-1
1640187844.73,0.4630823798113245,0.35074267540458237,-1,-1
1640187845.73,0.47379705215983126,0.35174347767220243,-1,-1
1640187846.73,0.48576868091034603,0.35243225030893677,-1,-1
1640187847.73,0.49748085330165587,0.3544472666698528,-1,-1
1640187848.73,0.5087678228689646,0.35524061249115996,-1,-1
1640187849.73,0.5168656203553443,0.35907757824809133,-1,-1
1640187850.73,0.5220805441782802,0.3627400487802784,-1,-1
1640187851.73,0.5249622652880687,0.3695540529619137,-1,-1
1640187852.73,0.5223873357822221,0.37427098072251513,-1,-1
1640187853.73,0.5148995110644157,0.37814495934233233,-1,-1
1640187854.73,0.5112062560187489,0.3837465770062041,-1,-1
1640187855.73,0.5227707455016175,0.3866705084309769,-1,-1
1640187856.73,0.532665717919875,0.38933614333113914,-1,-1
1640187857.73,0.5421728024091972,0.39257903305892233,-1,-1
1640187858.73,0.5537870269735019,0.39345366884097693,-1,-1
1640187859.73,0.5631668134159082,0.3895414965664332,-1,-1
1640187860.73,0.5649498855576509,0.3796536820460839,-1,-1
1640187861.73,0.5538872689050396,0.3772258231070926,-1,-1
1640187862.73,0.5405995275722203,0.37182322943080565,-1,-1
