time,x1,y1,x2,y2
1640187827.25,0.5706979114011038,0.33607334217554274,-1,-1
1640187828.25,0.5816539331782341,0.3259268077322775,-1,-1
1640187829.25,0.5915240912095389,0.3187514061235976,-1,-1
1640187830.25,0.6080979067443539,0.3148201290665001,-1,-1
1640187831.25,0.6215815380421993,0.32149488033992596,-1,-1
1640187832.25,0.6203231416617071,0.3305197216322671,-1,-1
1640187833.25,0.6190675550640832,0.3404595217033631,-1,-1
1640187834.25,0.6203191941781055,0.3474747872180927,-1,-1
1640187835.25,0.6243067872058755,0.3549673518072325,-1,-1
1640187836.25,0.6333232554296043,0.3611371473817599,-1,-1
1640187837.25,0.6429622457090682,0.3671627552643468,-1,-1
1640187838.25,0.6517347385553852,0.3722350919203657,-1,-1
1640187839.25,0.6648355742757008,0.3778552677910938,-1,-1
1640187840.25,0.6765459067060376,0.3836988423154128,-1,-1
1640187841.25,0.6883173798079516,0.38825855171974805,-1,-1
1640187842.25,0.7014479557310426,0.3908081287136853,-1,-1
1640187843.25,0.7167861228764852,0.39013677184610973,-1,-1
1640187844.25,0.7318302480327638,0.3915263289583751,-1,-1
1640187845.25,0.7470778401106567,0.39058879284514875,-1,-1
1640187846.25,0.7592945679393418,0.3867025696378877,-1,-1
1640187847.25,0.7733264448601492,0.3816392718799932,-1,-1
1640187848.25,0.786910980478311,0.3758081434267579,-1,-1
1640187849.25,0.8025107920723342,0.37262705028803916,-1,-1
1640187850.25,0.820552882847274,0.37521105561926527,-1,-1
1640187851.25,0.7532831580614243,0.3775810630060355,-1,-1
1640187852.25,0.7635390935441171,0.36239158975042046,-1,-1
1640187853.25,0.7725767818951754,0.3474341424292123,-1,-1
1640187854.25,0.7892587264575049,0.3262988576139849,-1,-1
1640187855.25,0.8065012836216799,0.3063330729071155,-1,-1
1640187856.25,0.8133499057541204,0.2830355320584384,-1,-1
1640187857.25,0.8243406665332095,0.2610989247198919,-1,-1
1640187858.25,0.8444442416591542,0.27273030402621445,-1,-1
1640187859.25,0.8333012351367299,0.3755363990891928,-1,-1
1640187860.25,0.850739583425381,0.36323987066363617,-1,-1
1640187861.25,0.87657793506756,0.354434291983263,-1,-1
1640187862.25,0.8904278081578695,0.33096153640278336,-1,-1
1640187863.25,0.9169102835053103,0.3206812653000338,-1,-1
1640187864.25,0.8703791719146875,0.3082393067281381,-1,-1
1640187865.25,0.8538952120033442,0.2999953377248569,-1,-1
1640187866.25,0.8770392486743167,0.2750469915269515,-1,-1
